kepid,koi_disposition,koi_period,koi_depth,koi_duration,koi_prad,koi_steff,koi_srad,koi_kepmag
12070811,CONFIRMED,12.3935651,916.6,3.8896,2.66,5557.0,0.75,15.505
8395660,CONFIRMED,43.84439721,615.2,6.802,2.87,5854.0,1.012,12.882
3120431,FALSE POSITIVE,3.341913228,725.3,3.813,21.55,5295.0,0.811,15.629
3246984,FALSE POSITIVE,1.626630225,1620.6,2.1145,32.43,5735.0,0.973,15.279
3342970,CONFIRMED,2.711504086,837.5,3.0099,3.12,6214.0,1.076,15.541
3342970,CONFIRMED,7.21203748,950.4,4.0491,3.32,6214.0,1.076,15.541
12459725,FALSE POSITIVE,14.1798187,459.9,2.505,1.88,5799.0,0.878,15.727
12470844,CONFIRMED,8.47237911,1123.5,2.7245,2.59,5354.0,0.788,15.339
12470844,CONFIRMED,60.4189369,931.3,5.039,2.36,5354.0,0.788,15.339
12644822,CONFIRMED,12.611904345,6105.6,5.1497,7.4,5795.0,0.919,15.14
2440757,FALSE POSITIVE,1.433769925,1976.3,1.8868,46.58,6017.0,1.339,15.122
2445129,FALSE POSITIVE,10.31872301,871.7,3.836,28.59,5927.0,1.06,15.065
2713049,CONFIRMED,2.539183147,382.1,2.4282,2.06,5519.0,1.062,15.026
3114167,CONFIRMED,6.770300385,1304.0,2.0844,2.77,5653.0,0.679,15.591
3114661,FALSE POSITIVE,0.444291966,10967.4,2.0792,27.51,5255.0,0.636,15.748
4139816,CONFIRMED,20.06036336,1494.7,3.3203,1.96,3950.0,0.493,15.954
4139816,CONFIRMED,46.1842039,1394.7,4.758,1.83,3950.0,0.493,15.954
8395660,CONFIRMED,23.9800854,104.0,5.351,1.31,5854.0,1.012,12.882
4139816,CONFIRMED,7.82502168,520.8,2.186,1.2,3950.0,0.493,15.954
4275191,CONFIRMED,3.895936525,8544.8,2.3111,7.34,5557.0,0.774,15.725
4476123,CONFIRMED,22.36646466,986.8,5.228,2.32,5395.0,0.734,15.583
3351888,CONFIRMED,1.625522174,7969.0,2.38963,9.73,5539.0,1.106,15.001
3554600,FALSE POSITIVE,7.544039,322.6,6.222,17.47,5657.0,0.824,15.559
3641726,CONFIRMED,9.02930689,1019.8,3.1449,2.57,5349.0,0.82,15.387
3734868,FALSE POSITIVE,10.328035714,16917.7,7.7915,13.28,5627.0,1.024,15.646
3832474,CONFIRMED,143.2063047,10565.7,8.9302,8.9,5485.0,0.867,15.403
8395660,CONFIRMED,6.164876,55.8,3.262,0.79,5854.0,1.012,12.882
3832474,CONFIRMED,60.32494216,20280.4,6.6188,12.19,5485.0,0.867,15.403
3832474,CONFIRMED,29.1598615,488.0,4.803,1.91,5485.0,0.867,15.403
3836375,FALSE POSITIVE,1.540397253,816.1,2.1541,25.69,5663.0,0.915,15.974
3838486,FALSE POSITIVE,2.99025443,589.2,5.414,1.7,4667.0,0.731,15.842
3935914,CONFIRMED,1.594745374,15044.5,1.9604,11.3,5934.0,0.893,15.53
3940418,CONFIRMED,4.783002698,1008.7,2.335,2.5,5170.0,0.807,15.119
4049131,CONFIRMED,20.50588921,2105.5,4.0595,3.41,4905.0,0.761,15.398
4139816,CONFIRMED,3.340218842,1632.6,1.9104,2.03,3950.0,0.493,15.954
5287983,FALSE POSITIVE,2.507089906,1339.2,2.0067,30.26,5926.0,0.939,15.555
5358241,CONFIRMED,18.64932728,893.6,4.4056,3.12,5775.0,1.053,15.386
10875245,CONFIRMED,4.90144976,140.7,4.1654,1.7,5847.0,1.402,12.487
5358241,CONFIRMED,9.75192101,418.0,4.793,2.76,5775.0,1.053,15.386
5358241,CONFIRMED,38.5576546,993.0,5.794,4.02,5775.0,1.053,15.386
5358624,CONFIRMED,3.525632539,22335.0,2.59959,11.58,5150.0,0.793,15.224
4664847,CONFIRMED,7.748094239,2472.1,3.5957,5.52,5973.0,1.085,15.67
4725681,CONFIRMED,23.96793669,1182.3,3.827,1.8,3747.0,0.524,15.414
4725681,CONFIRMED,8.29561738,824.3,1.3421,1.82,3747.0,0.524,15.414
4913852,CONFIRMED,8.11437482,1558.0,2.2736,2.1,3692.0,0.517,15.877
4932348,FALSE POSITIVE,38.036729482,82871.6,4.34617,27.5,5575.0,0.932,15.472
11913073,FALSE POSITIVE,3.747838198,616.0,5.0642,13.65,5514.0,0.826,13.496
10875245,CONFIRMED,14.74914825,430.2,6.0995,2.89,5847.0,1.402,12.487
5021899,CONFIRMED,21.81295996,1175.4,4.3791,3.38,5601.0,0.999,15.54
5077629,FALSE POSITIVE,7.91936937,15148.1,3.3148,10.34,5690.0,0.776,15.805
5164255,CONFIRMED,15.37562369,15337.0,3.3169,11.01,4986.0,0.833,16.422
