koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_kepmag,ra,dec,target_planet,mission,tid,toi
21.701669,0.0095323,-0.0095323,2458657.736625,0.007425,-0.007425,8.2676424,0.5088978,-0.5088978,211.6567325,25.132692,-25.132692,2.3751494,0.6983451,-0.6983451,685.2,52.095,,,5625.0,80.0,-80.0,4.438,0.0852564,-0.0852564,1.56486,0.186629,-0.186629,7.1278,40.365939,-71.462749,0,TESS,259863352,1051.01
9.139804,0.0001109,-0.0001109,2458332.941229,0.002642,-0.002642,3.0912936,0.6627002,-0.6627002,358.4157801,33.721474,-33.721474,3.0629855,2.8175755,-2.8175755,1006.9932829,243.011763,,,5958.2,76.0,-76.0,4.34,0.12,-0.12,1.58,0.165123,-0.165123,9.0197,337.510274,-75.646561,1,TESS,317060587,1052.01
5.742625,0.000621,-0.000621,2458657.999179,0.001553,-0.001553,2.860293,0.230499,-0.230499,1105.760867,87.92673,-87.92673,13.088532,3.636668,-3.636668,1245.1929616500001,477.24699895,,,5664.0,188.0,-188.0,3.26574,0.355261,-0.355261,3.86959,0.644568,-0.644568,8.8849,290.977117,-33.351416,0,TESS,112395568,1053.01
15.5077855,0.0002372,-0.0002372,2460122.700139,0.019948,-0.019948,4.565,0.427,-0.427,513.0,25.4443,-25.4443,2.43432,0.142957,-0.142957,853.0,88.0718,,,6122.0,194.0,-194.0,4.30881,0.268555,-0.268555,1.17,0.05,-0.05,8.4362,302.114174,-54.317501,1,TESS,366989877,1054.01
17.4713078,1.76e-05,-1.76e-05,2458661.062711,0.000867,-0.000867,4.4284819,0.0990118,-0.0990118,1199.7541483,28.872627,-28.872627,3.5766828,0.2409907,-0.2409907,689.3568807,53.3700317,,,5783.54,7.82429,-7.82429,4.49925,0.019231,-0.019231,0.974669,0.0546984,-0.0546984,8.0888,293.286615,-54.532728,1,TESS,320004517,1055.01
2.8493827,2e-07,-2e-07,2460988.068249,0.0001,-0.0001,3.548888,0.2195217,-0.2195217,7740.4889995,11.0717991,-11.0717991,16.0782163,0.7243942,-0.7243942,2399.4720439,5502.8822312,,,6900.0,131.1,-131.1,4.438,0.0852564,-0.0852564,1.77,0.08,-0.08,10.3157,68.959816,-64.027039,1,TESS,38846515,106.01
0.540933,0.000107,-0.000107,2458654.253249,0.003078,-0.003078,1.674337,0.329757,-0.329757,257.347459,27.641214,-27.641214,2.28501,0.57323,-0.57323,1245.1929616500001,477.24699895,,,5525.0,186.0,-186.0,4.25342,0.29667,-0.29667,1.21935,0.16458,-0.16458,9.7345,284.688908,-41.242483,0,TESS,253990973,1061.01
4.1150576,5.6e-06,-5.6e-06,2460177.200429,0.001332,-0.001332,1.08,0.323,-0.323,487.0,50.8548,-50.8548,2.30057,0.16833,-0.16833,826.0,77.3573,,,5394.0,185.0,-185.0,4.50942,0.276077,-0.276077,0.89,0.05,-0.05,9.478,38.120968,-78.023683,1,TESS,299799658,1062.01
6.4438657,1.65e-05,-1.65e-05,2458656.668478,0.001185,-0.001185,1.9309449,0.3014965,-0.3014965,1121.9512275,76.157646,-76.157646,2.460344,1.638728,-1.638728,712.2812841,60.831305,,,4803.0,178.0,-178.0,4.52079,2.00348,-2.00348,0.737189,0.0567035,-0.0567035,10.0059,296.003935,-47.56203,1,TESS,79748331,1064.01
12.2265595,2.69e-05,-2.69e-05,2458664.490132,0.001696,-0.001696,2.1904379,0.4219775,-0.4219775,1206.3693293,86.60944,-86.60944,2.6014766,1.7533404,-1.7533404,575.3502049,25.8970378,,,4803.0,178.0,-178.0,4.52079,2.00348,-2.00348,0.737189,0.0567035,-0.0567035,10.0059,296.003935,-47.56203,1,TESS,79748331,1064.02
