kepid,koi_srad,koi_steff,koi_disposition
5531576,0.779,4768.0,CONFIRMED
5531576,0.779,4768.0,CONFIRMED
5534814,0.988,6072.0,FALSE POSITIVE
6291653,0.793,5386.0,CONFIRMED
6392727,0.877,5815.0,CONFIRMED
6422070,0.949,5653.0,CONFIRMED
6428700,0.826,5015.0,CONFIRMED
6428700,0.826,5015.0,CONFIRMED
5792202,0.817,5251.0,CONFIRMED
5794379,0.686,4702.0,CONFIRMED
5794379,0.686,4702.0,CONFIRMED
5881688,1.135,6073.0,CONFIRMED
6022556,0.978,5727.0,CONFIRMED
6032497,0.987,5878.0,CONFIRMED
6061119,0.785,5862.0,CONFIRMED
6191521,1.238,5510.0,CONFIRMED
6267425,0.704,4968.0,FALSE POSITIVE
3531558,1.317,5718.0,CONFIRMED
6276477,0.918,5501.0,CONFIRMED
6863998,0.826,5239.0,CONFIRMED
6867155,0.657,4245.0,CANDIDATE
6948054,0.787,5103.0,CONFIRMED
6948054,0.787,5103.0,CONFIRMED
6948054,0.787,5103.0,CONFIRMED
6435936,0.491,3593.0,CONFIRMED
6522242,0.747,5522.0,CONFIRMED
6526710,0.964,6122.0,CANDIDATE
6587280,0.826,5237.0,CONFIRMED
9471974,2.057,5626.0,CONFIRMED
6587280,0.826,5237.0,CONFIRMED
6599919,0.903,5697.0,CANDIDATE
6675056,0.802,4947.0,FALSE POSITIVE
6685526,0.81,5265.0,CONFIRMED
6756669,0.806,5532.0,FALSE POSITIVE
6784235,0.94,5895.0,CONFIRMED
6849310,0.927,5527.0,CONFIRMED
6849310,0.927,5527.0,CONFIRMED
6849310,0.927,5527.0,CONFIRMED
6862328,1.062,5453.0,CANDIDATE
9471974,2.057,5626.0,CONFIRMED
6862603,1.021,6126.0,FALSE POSITIVE
7366258,0.929,5427.0,CONFIRMED
7366258,0.929,5427.0,CONFIRMED
7366258,0.929,5427.0,CONFIRMED
7366258,0.929,5427.0,CONFIRMED
7373451,0.75,5067.0,CONFIRMED
6948054,0.787,5103.0,CONFIRMED
6949607,0.57,4072.0,CONFIRMED
6949607,0.57,4072.0,CONFIRMED
7031517,0.809,5875.0,CANDIDATE
11869052,1.264,5670.0,FALSE POSITIVE
7109675,0.93,5149.0,CONFIRMED
7109675,0.93,5149.0,CONFIRMED
