index,flux__sum_values,flux__median,flux__mean,flux__length,flux__standard_deviation,flux__variance,flux__root_mean_square,flux__maximum,flux__absolute_maximum,flux__minimum,sci_std_dev,sci_skewness,sci_kurtosis,sci_mad,sci_amplitude,sci_transit_depth_p1,sci_transit_depth_p5,sci_transit_depth_min,sci_below_above_ratio,sci_transit_fraction,sci_low_cluster_mean_gap,sci_low_cluster_std_gap,sci_rms,sci_snr_approx,sci_iqr,sci_cv,sci_max_sigma,kepid,target_label,target_id
KIC 4570949,1999.888700666724,0.9999904624836918,0.9999443503333618,2000.0,0.0003288774505968,1.0816037751110233e-07,0.9999444044165589,1.0009617627554712,1.0009617627554712,0.9964662514689108,0.0003263547514798,-5.245497088639861,37.653237801421945,8.684805186609523e-05,0.0044955112865605,0.0016689174657144,0.0003467402822339,0.0035258210287538,0.9991474850809888,0.0618336886993603,16.02777777777778,13.732536609395767,0.9999454557851496,5.113813903877695,0.0001738743093023,0.0003263573386784,10.80364545870922,4570949,1,KIC 4570949
KIC 7047207,2000.0028936944475,0.9999965429828684,1.0000014468472238,2000.0,0.0002003002136198,4.012017557617504e-08,1.0000014669072823,1.000827104810049,1.000827104810049,0.9993535728717552,0.0001977800886739,0.2119496847204488,0.5255958266560965,0.0001269393526959,0.0014735319382938,0.0004523965175633,0.0003046808267177,0.0006447878248071,1.0,0.0199490662139219,47.58695652173913,50.909372198974935,1.0000024214420338,2.287371396162769,0.0002538820301771,0.000197780412896,3.26012506683666,7047207,1,KIC 7047207
KIC 4913852,2000.011526883205,0.9999983267875888,1.0000057634416026,2000.0,0.0006058325032764,3.67033022026223e-07,1.000005946957039,1.0151735744119017,1.0151735744119017,0.9979000215302756,0.0005822168446108,9.6701671563499,230.80869005991624,0.0002679788885376,0.017273552881626,0.0011238732485679,0.0006974787366759,0.0021059205271939,1.0,0.032258064516129,30.89333333333333,31.259163278771386,1.0000102861432607,1.9303344775591864,0.0005402060807372,0.0005822133850654,3.617072481991841,4913852,1,KIC 4913852
KIC 10545066,2000.007149176246,1.0000002086120707,1.000003574588123,2000.0,0.0001641541812429,2.694659521954697e-08,1.0000035880613722,1.0010253610275788,1.0010253610275788,0.9992356090343912,0.0001643275576374,0.4861118472989749,3.192013982537677,9.556204492411348e-05,0.0017897519931875,0.0003924195797641,0.00024093862748,0.0007643909656087,0.998303647158609,0.0309847198641765,31.15277777777778,51.42109913963717,1.0000038651371757,2.3880326915704124,0.0001914161712692,0.0001643275576374,4.651629809379307,10545066,1,KIC 10545066
KIC 9832208,2000.024900544216,0.9999944608561894,1.0000124502721075,2000.0,0.0003864358883454,1.4933269580134138e-07,1.0000125249375234,1.002428177560305,1.002428177560305,0.9985670822100666,0.0003833149512682,0.330559006355693,1.748635623866579,0.0002381213922602,0.0038610953502383,0.0008874964114924,0.0005956804354931,0.0014288937884984,1.0,0.0224957555178268,44.84615384615385,71.80352054133681,1.0000120961715164,2.3153190569686064,0.0004787978263062,0.0003833164937343,3.7277277699985913,9832208,1,KIC 9832208
KIC 11403339,1999.985208192644,0.9999958881420306,0.9999926040963218,2000.0,0.0002251925609299,5.071168949817661e-08,0.999992629452354,1.0012336713085526,1.0012336713085526,0.9982926633607035,0.0002230259992272,-0.6457360133448474,5.017753348197914,0.0001280710239692,0.002941007947849,0.0005758750865247,0.0003477343059899,0.0017051310369013,1.0,0.0411714770797962,22.822916666666668,45.8677888954735,0.9999946051686388,2.582098448252665,0.0002563809124982,0.000223026491135,7.645436150086029,11403339,1,KIC 11403339
KIC 4644952,1999.971889038046,1.0000136049909414,0.9999859445190228,2000.0,0.0010977202784848,1.2049898097968156e-06,0.9999865470222148,1.002961119907037,1.002961119907037,0.9870439694741324,0.0011166075967257,-3.3356566586590968,31.8269837701003,0.0005671256814193,0.0166676230108295,0.0026941782716367,0.0014271010448586,0.013720108094734,1.0,0.0271646859083191,26.77777777777778,82.28491818153006,0.9999856237677324,2.412824594366949,0.0011443960646412,0.0011165924054961,12.287313945352208,4644952,1,KIC 4644952
KIC 10328393,2000.012977250944,0.999995630065568,1.000006488625472,2000.0,0.0002382570014598,5.6766398744642686e-08,1.0000065170084866,1.0041230866493016,1.0041230866493016,0.9987834223527696,0.0002413910961011,2.228901254255227,38.15304187931156,0.0001288789159993,0.0058730433989695,0.0005146816726645,0.0003310248726139,0.0017480189899766,1.0,0.031409168081494,24.71232876712329,33.14826777104166,1.0000064700493871,2.132148538108597,0.0002580500755781,0.00024139156386,7.2414393828512305,10328393,1,KIC 10328393
KIC 9447166,2000.0021417556063,0.999999642458612,1.000001070877803,2000.0,0.0002243668559245,5.03404860374833e-08,1.000001096048019,1.001514448581832,1.001514448581832,0.9989848138741984,0.0002231155520999,0.2272993930964993,2.230087396584904,0.0001386045975644,0.0025296347076334,0.0005173790566534,0.0003481962001841,0.0010152457438147,1.0,0.0267402376910016,36.04838709677419,50.229610666628936,1.0000010696461308,2.3188838778107645,0.0002776259748495,0.0002231155387982,4.550313657022766,9447166,1,KIC 9447166
KIC 7212184,2000.00921219237,1.000001668850777,1.000004606096185,2000.0,0.0002449587667366,6.000479740114532e-08,1.0000046360984451,1.0013383794737312,1.0013383794737312,0.9991560975217256,0.0002460937535098,0.2878717736426182,0.9737139300374826,0.0001556637592666,0.0021822819520055,0.0005688760353009,0.0003739886901997,0.0008449754048241,1.0,0.0233446519524618,42.98148148148148,38.80935871321682,1.0000043422046103,2.31162322158774,0.0003112313972211,0.0002460934894695,3.43355080237945,7212184,1,KIC 7212184
