index,flux__sum_values,flux__median,flux__mean,flux__length,flux__standard_deviation,flux__variance,flux__root_mean_square,flux__maximum,flux__absolute_maximum,flux__minimum,sci_std_dev,sci_skewness,sci_kurtosis,sci_mad,sci_amplitude,sci_transit_depth_p1,sci_transit_depth_p5,sci_transit_depth_min,sci_below_above_ratio,sci_transit_fraction,sci_low_cluster_mean_gap,sci_low_cluster_std_gap,sci_rms,sci_snr_approx,sci_iqr,sci_cv,sci_max_sigma,target_label
train_0,587.671099967117,0.9999265596276233,0.99944064620258,588.0,0.003834944138696826,1.470679654692514e-05,0.999448003689225,1.007632547774019,1.007632547774019,0.9725415540398734,0.003834944138696826,-3.686561439331231,19.95283764140336,0.0013950497304044407,0.03509099373414548,0.02023186690660428,0.004671349114083512,0.027385005587749922,1.0,0.05782312925170068,17.0,27.3085623158301,0.999448003689225,5.275661437269171,0.0027790962124125684,0.003835225799107661,7.140913817079947,0
train_1,670.0060889523679,1.000007061324768,1.0000090879886088,670.0,0.0006958846369294182,4.842554279143882e-07,1.000009330114093,1.002315620099413,1.002315620099413,0.9978361893472305,0.0006958846369294182,-0.0029132988725338927,0.04489441141880013,0.00048044396764374,0.004479430752182489,0.00163529572004939,0.001154558268111061,0.002170871977537514,1.0,0.020895522388059702,41.15384615384615,29.109464899677597,1.000009330114093,2.3499523243753604,0.0009509751688615564,0.0006958797230966939,3.1195860094231396,0
train_2,2000.0030132287295,1.0000011190715163,1.0000015066143648,2000.0,0.00031850050312272506,1.0144257048942898e-07,1.0000015573355723,1.0014148741250688,1.0014148741250688,0.9978943295052707,0.0003193284492423743,0.04490015361086182,1.039137248856398,0.00020996704182674186,0.003520544619798116,0.0007200719164763836,0.0005111897692134937,0.0021113489733273205,1.0,0.022071307300509338,45.568627450980394,47.275684958678156,1.000003139972546,2.254956982958446,0.00042066638798943234,0.00031932663595290626,6.611841125764465,1
train_3,587.3291380290245,0.9998598454786527,0.998859078280654,588.0,0.007664418514339948,5.8743311162956976e-05,0.998888483052458,1.0147252899909702,1.0147252899909702,0.9451607379464928,0.007664418514339948,-3.716496309424509,20.111871154882373,0.002731824527884341,0.06956455204447742,0.040772141022916486,0.009684159509297019,0.054699107532159896,1.0,0.05782312925170068,17.0,27.3085623158301,0.998888483052458,5.319665274884554,0.005455725677572243,0.007665492867823729,7.136758963490726,0
train_4,1999.9839343859549,0.9999987155837904,0.9999919671929774,2000.0,0.00022926380937994442,5.256189429140349e-08,0.9999919934741354,1.0007940670291973,1.0007940670291973,0.9986632793601844,0.00022845374900135504,-0.32461753587085285,1.2519896098390069,0.00014634970030785732,0.002130787669012868,0.0006138818869277918,0.000370790252131159,0.0013339516183932254,1.0,0.03225806451612903,30.14666666666667,28.653187528712326,0.9999914290150578,2.6871167122941397,0.0002918182032277672,0.0002284543815964317,5.839044551574915,1
train_5,1116.9968610917404,0.9999988078727843,0.9999971898762223,1117.0,5.8705560603383466e-05,3.446342845757529e-09,0.9999971915993987,1.0004271114962047,1.0004271114962047,0.9997246387064501,5.8705560603383466e-05,0.2338964863215123,4.192347813506317,3.730542571733775e-05,0.0007024727897545491,0.00015019501081858788,9.643678499648978e-05,0.00027416916633415944,0.998211091234347,0.03222918531781558,30.02857142857143,52.50604629906144,0.9999971915993987,2.558446070097344,7.373332105564678e-05,5.8705630587963405e-05,4.670241856413817,1
train_6,670.0027624314688,0.9999895060178441,1.000004123032043,670.0,0.0007245480884262046,5.249699324420673e-07,1.0000043855158927,1.0023393156196094,1.0023393156196094,0.9977107841947312,0.0007245480884262046,-0.0012933279078077553,-0.09384549505042905,0.0004969848919098574,0.0046285314248781795,0.0016854989264346587,0.0011495319734857734,0.0022787218231128392,1.0,0.01791044776119403,48.63636363636363,28.67140712934856,1.0000043855158927,2.326276134543038,0.0009917889104853472,0.0007245556919007064,3.1450249604032012,0
train_7,1999.9711788489503,0.9999923708961274,0.9999855894244751,2000.0,0.00028270549681864754,7.992239793147834e-08,0.9999856293862492,1.0015507681023443,1.0015507681023443,0.998002094570583,0.00028053794775961176,-1.346144725729499,8.838393555424338,0.00014960234953431684,0.0035486735317613594,0.0008869423150317246,0.00038295806597543613,0.001989799516387891,1.0,0.038200339558573854,25.528089887640448,27.9751454244658,0.9999849656800239,3.16157697065543,0.0002990495161182549,0.0002805402217942508,7.092799859265089,1
train_8,864.0153151804477,1.0001710340094003,1.000017725903296,864.0,0.014792035159428616,0.0002188043041577724,1.0001271201327147,1.026872042485318,1.026872042485318,0.9717481768257683,0.014792035159428616,-0.1670785560977485,-1.1854980349682849,0.012688596076569802,0.05512386565954963,0.02736969765383024,0.025336943626123376,0.028422857183632022,1.0,0.0,0.0,0.0,1.0001271201327147,1.8502996618679934,0.026033963375620917,0.01478950565098008,1.9214974056842313,0
train_9,524.9957440905712,0.9999994039937663,0.9999918935058498,525.0,6.390424947038309e-05,4.083753100372957e-09,0.9999918955477429,1.0001412616272625,1.0001412616272625,0.9996109438259622,6.390424947038309e-05,-2.465348982193726,10.589603344489174,2.5393462309120096e-05,0.0005303178013003063,0.00030312152411160476,0.00011469311036937935,0.00038846016780413883,0.9961977186311787,0.06666666666666667,13.735294117647058,26.080541341739835,0.9999918955477429,4.7433703802763345,5.12604918998516e-05,6.390428755773684e-05,6.078784603896704,1
train_10,1116.9975821674732,1.0000028996504795,0.999997835422984,1117.0,0.0001906432183609202,3.6344836707009494e-08,0.9999978535954415,1.0006078696643848,1.0006078696643848,0.9994476110555975,0.0001906432183609202,-0.18752066004692797,0.05333213666246994,0.00012226161881179198,0.0011602586087872124,0.00047939888148240684,0.0003348123483960519,0.0005552885948819641,0.998211091234347,0.04118173679498657,22.68888888888889,24.68901890154786,0.9999978535954415,2.5146390498655076,0.00024446128895927455,0.00019064266556382357,2.912710977375067,1
train_11,864.0175688565764,0.9999982756907867,1.0000203343247411,864.0,0.0073937917646153175,5.466815665849329e-05,1.0000476674737186,1.013522385230607,1.013522385230607,0.9856908147889776,0.0073937917646153175,-0.16698057585236692,-1.1838147438657565,0.0063154982432841456,0.027831570441629427,0.013606107929224454,0.012466500150883797,0.014307460901809121,1.0,0.0,0.0,0.0,1.0000476674737186,1.8402070767450602,0.012977100795187657,0.007393804513820562,1.935064085829513,0
train_12,863.7354971155473,0.9999966917837437,0.9996938624022539,864.0,0.001916889674182199,3.6744660229863367e-06,0.9996957001961945,1.0001827740388114,1.0001827740388114,0.985101535062901,0.001916889674182199,-7.022713341383121,47.9368417604181,2.3574595445996493e-05,0.015081238975910405,0.01393873989273997,0.0007405228942433117,0.01489515672084274,1.0,0.09259259259259259,8.468354430379748,30.60687249830573,0.9996957001961945,7.2715399746136375,4.681905056047597e-05,0.0019168960156887597,7.770482006064041,1
train_13,864.0002438919894,1.0000028013393654,1.000000282282395,864.0,8.94386926502538e-05,7.999279742986562e-09,1.0000002862820339,1.0008407036993379,1.0008407036993379,0.999506829792992,8.94386926502538e-05,1.2963114524821582,21.122705888619738,3.17128727497229e-05,0.0013338739063458727,0.00024190098467136156,0.00013251969079886017,0.0004959715463733749,1.0,0.0775462962962963,12.378787878787879,23.582713977207167,1.0000002862820339,2.704656983497121,6.328864299232073e-05,8.943844210282515e-05,5.545380099783553,1
train_14,863.9585301526452,0.9999976161087343,0.9999520024914874,864.0,0.00021996915072962546,4.838642727271268e-08,0.9999520266858621,1.0001827740388114,1.0001827740388114,0.9987005617018287,0.00021996915072962546,-4.212150219690493,17.691686233120485,2.2979501481334985e-05,0.0014822123369826468,0.0012098755198091116,0.00040013475733002846,0.001297054406905529,1.0,0.08217592592592593,6.271428571428571,26.2482224859793,0.9999520266858621,5.500205441517693,4.554199219097832e-05,0.0002199696751134127,5.896528684150807,1
train_15,1190.9756763928497,0.9999985699501723,0.999979577156045,1191.0,0.00013976592381074302,1.9534513458670425e-08,0.9999795869235011,1.0003328844229693,1.0003328844229693,0.9989269171111926,0.00013976592381074302,-3.369129721947327,18.04661179642906,5.575847013239432e-05,0.001405967311776668,0.0006965448933083929,0.0002160613213982865,0.0010716528389796975,0.9983221476510067,0.06968933669185558,13.890243902439025,21.042353397989434,0.9999795869235011,4.983653198984211,0.00011103496537612223,0.00013976612368326411,7.667482958369897,1
train_16,1190.8134078046614,0.9999885570335922,0.99984333149006,1191.0,0.0008208437431904268,6.737844507348713e-07,0.9998436684350172,1.0007535924848194,1.0007535924848194,0.9945485254416251,0.0008208437431904268,-4.406191177132222,20.682643277118952,0.00018668322710291285,0.0062050670431943455,0.004673406711316441,0.0007376343118382644,0.005440031591967154,0.9983221476510067,0.06381192275398824,15.866666666666667,35.81036473176756,0.9998436684350172,5.693418205457725,0.0003722097212984776,0.0008208531361852898,6.627365606544102,0
train_17,670.0060889523679,1.000007061324768,1.0000090879886088,670.0,0.0006958846369294182,4.842554279143882e-07,1.000009330114093,1.002315620099413,1.002315620099413,0.9978361893472305,0.0006958846369294182,-0.0029132988725338927,0.04489441141880013,0.00048044396764374,0.004479430752182489,0.00163529572004939,0.001154558268111061,0.002170871977537514,1.0,0.020895522388059702,41.15384615384615,29.109464899677597,1.000009330114093,2.3499523243753604,0.0009509751688615564,0.0006958797230966939,3.1195860094231396,0
train_18,1190.9626815609322,0.9999977114067184,0.999968666298012,1191.0,0.00016416874863808665,2.695137802939528e-08,0.9999686797741232,1.0001507184969638,1.0001507184969638,0.998909705088325,0.00016416874863808665,-4.406191177131384,20.682643277114018,3.7336645420604775e-05,0.0012410134086388025,0.0009346813422633771,0.00014752686236763068,0.001088006318393453,0.9983221476510067,0.06381192275398824,15.866666666666667,35.81036473176756,0.9999686797741232,5.6934182054582205,7.444194425976214e-05,0.00016416912435444168,6.627365606544185,0
train_19,670.0072953652259,1.0000193726776643,1.0000108886048147,670.0,0.00018737325908171868,3.510873821890487e-08,1.0000109061589924,1.0006136053750383,1.0006136053750383,0.9993869147468352,0.00018737325908171868,-0.07213210408769329,-0.16445420420784096,0.00013376905183948296,0.001226690628203131,0.0004612167892593666,0.00030888303893816804,0.0006324579308291112,1.0,0.020895522388059702,43.84615384615385,33.64485594204479,1.0000109061589924,2.461486721849766,0.0002666604163032993,0.00018736962923028753,3.3753905649539817,0
train_20,864.0000975567957,1.0000011205357462,1.000000112912958,864.0,3.577547706010298e-05,1.2798847588779544e-09,1.0000001135529002,1.0003362814797352,1.0003362814797352,0.9998027319171968,3.577547706010298e-05,1.2963114524750574,21.1227058886104,1.2685149099966875e-05,0.0005335495625383713,9.676039386863344e-05,5.300787631956627e-05,0.00019838861854937218,1.0,0.0775462962962963,12.378787878787879,23.582713977207167,1.0000001135529002,2.7046569834994934,2.53154571969727e-05,3.577543697244701e-05,5.545380099783947,1
